problem_id,run_name,has_triton_jit,torch_calls_in_jit,is_valid,needs_manual_review,notes
51,qwen25_coder_7b,True,False,True,False,
52,qwen25_coder_7b,True,False,True,False,
53,qwen25_coder_7b,True,False,True,False,
54,qwen25_coder_7b,True,False,True,False,
55,qwen25_coder_7b,True,False,True,False,
56,qwen25_coder_7b,True,False,True,False,
57,qwen25_coder_7b,True,False,True,False,
58,qwen25_coder_7b,True,False,True,False,
59,qwen25_coder_7b,True,False,True,False,
60,qwen25_coder_7b,True,False,True,False,
61,qwen25_coder_7b,True,False,True,False,
62,qwen25_coder_7b,True,False,True,False,
63,qwen25_coder_7b,True,False,True,False,
64,qwen25_coder_7b,True,False,True,False,
65,qwen25_coder_7b,True,False,True,False,
66,qwen25_coder_7b,True,False,True,False,
67,qwen25_coder_7b,True,False,False,True,"possible_forward_torch_fallback=torch.from_numpy,torch.from_numpy.to"
68,qwen25_coder_7b,True,False,True,False,
69,qwen25_coder_7b,True,False,True,False,
70,qwen25_coder_7b,True,False,False,True,"possible_forward_torch_fallback=torch.from_numpy,torch.from_numpy.cuda"
71,qwen25_coder_7b,True,False,True,False,
72,qwen25_coder_7b,True,False,False,True,possible_forward_torch_fallback=torch.zeros_like
73,qwen25_coder_7b,True,False,True,False,
74,qwen25_coder_7b,True,False,True,False,
75,qwen25_coder_7b,True,False,True,False,
76,qwen25_coder_7b,True,False,True,False,
77,qwen25_coder_7b,True,False,True,False,
78,qwen25_coder_7b,True,False,True,False,
79,qwen25_coder_7b,True,False,True,False,
80,qwen25_coder_7b,True,False,False,True,possible_forward_torch_fallback=torch.from_numpy
81,qwen25_coder_7b,True,False,True,False,
82,qwen25_coder_7b,True,False,True,False,
83,qwen25_coder_7b,True,False,True,False,
84,qwen25_coder_7b,True,False,True,False,
85,qwen25_coder_7b,True,False,True,False,
86,qwen25_coder_7b,True,False,True,False,
87,qwen25_coder_7b,True,False,True,False,
88,qwen25_coder_7b,True,True,False,True,torch_used_inside_triton_jit
89,qwen25_coder_7b,True,False,True,False,
90,qwen25_coder_7b,True,False,True,False,
91,qwen25_coder_7b,True,False,True,False,
92,qwen25_coder_7b,True,False,True,False,
93,qwen25_coder_7b,True,False,True,False,
94,qwen25_coder_7b,True,False,True,False,
95,qwen25_coder_7b,True,False,True,False,
96,qwen25_coder_7b,True,False,True,False,
97,qwen25_coder_7b,True,False,False,True,"possible_forward_torch_fallback=torch.sqrt,torch.tensor"
98,qwen25_coder_7b,True,False,False,True,possible_forward_torch_fallback=torch.log
99,qwen25_coder_7b,True,False,True,False,
100,qwen25_coder_7b,True,False,True,False,
